_c0,County-State,Drop_Out_Rate_By_County
6,HAMPDEN-MA,0.054944638252692246
7,HAMPSHIRE-MA,0.021744268494445756
8,MIDDLESEX-MA,0.02368568934801583
9,NANTUCKET-MA,0.0196078431372549
10,NORFOLK-MA,0.02012523584260753
11,PLYMOUTH-MA,0.0312522765352954
12,SUFFOLK-MA,0.03870273009438145
13,WORCESTER-MA,0.036812614021370864
0,ADAMS-OH,0.09965156794425087
1,ALLEN-OH,0.0665746809244567
2,ASHLAND-OH,0.06352941176470588
3,ASHTABULA-OH,0.12438807298620383
4,ATHENS-OH,0.012826660273315752
5,AUGLAIZE-OH,0.053066550674206174
6,BELMONT-OH,0.03824756606397774
7,BROWN-OH,0.10764212488350419
8,BUTLER-OH,0.03041247691360558
9,CARROLL-OH,0.15049928673323823
10,CHAMPAIGN-OH,0.10208926875593542
11,CLARK-OH,0.06796378867720579
12,CLERMONT-OH,0.04500760263558033
13,CLINTON-OH,0.044434470377019746
14,COLUMBIANA-OH,0.1224188790560472
15,COSHOCTON-OH,0.2752126366950182
16,CRAWFORD-OH,0.07726027397260274
17,CUYAHOGA-OH,0.04481073055170918
18,DARKE-OH,0.024857375713121434
19,DEFIANCE-OH,0.007424593967517401
20,DELAWARE-OH,0.016728940217391304
21,ERIE-OH,0.06601886253215204
22,FAIRFIELD-OH,0.017406962785114045
23,FAYETTE-OH,0.026845637583892617
24,FRANKLIN-OH,0.053707266538404616
25,FULTON-OH,0.10816876122082585
26,GALLIA-OH,0.1821106821106821
27,GEAUGA-OH,0.25408921933085504
28,GREENE-OH,0.029159832330964097
29,GUERNSEY-OH,0.05568664464369986
30,HAMILTON-OH,0.07303396820983364
31,HANCOCK-OH,0.038708086785009865
32,HARDIN-OH,0.03635637235317619
33,HARRISON-OH,0.1731266149870801
34,HENRY-OH,0.08618233618233619
35,HIGHLAND-OH,0.2474003466204506
36,HOCKING-OH,0.052452316076294275
37,HOLMES-OH,1.0450294423276758
38,HURON-OH,0.06827445652173914
39,JACKSON-OH,0.02877697841726619
40,JEFFERSON-OH,0.02696629213483146
41,KNOX-OH,0.053598389531957724
42,LAKE-OH,0.035758431926540706
43,LAWRENCE-OH,0.0014049877063575693
44,LICKING-OH,0.0371984270379424
45,LOGAN-OH,0.011857707509881422
46,LORAIN-OH,0.06343328881874469
47,LUCAS-OH,0.04926242942997632
48,MADISON-OH,0.04265159301130524
49,MAHONING-OH,0.04393720678455431
50,MARION-OH,0.10211267605633803
51,MEDINA-OH,0.05032967032967033
52,MEIGS-OH,0.09090909090909091
53,MERCER-OH,0.01145374449339207
54,MIAMI-OH,0.032856093979441996
55,MONROE-OH,0.14802631578947367
56,MONTGOMERY-OH,0.03014681161044492
57,MORGAN-OH,0.005412719891745603
58,MORROW-OH,0.18694976696012428
59,MUSKINGUM-OH,0.023506836171743824
60,NOBLE-OH,0.005797101449275362
61,OTTAWA-OH,0.04455445544554455
62,PAULDING-OH,0.05726405090137858
63,PERRY-OH,0.06572769953051644
64,PICKAWAY-OH,0.07497500833055648
65,PIKE-OH,0.05849802371541502
66,PORTAGE-OH,0.03639120545868082
67,PREBLE-OH,0.03818269695505075
68,PUTNAM-OH,0.02262180974477958
69,RICHLAND-OH,0.10328970640254687
70,ROSS-OH,0.10357037474181174
71,SANDUSKY-OH,0.041452442159383034
72,SCIOTO-OH,0.030757498729028977
73,SENECA-OH,0.026720647773279354
74,SHELBY-OH,0.02518122853872568
75,STARK-OH,0.04314859262491818
76,SUMMIT-OH,0.04592808334266831
77,TRUMBULL-OH,0.14601670051907018
78,TUSCARAWAS-OH,0.16117969821673525
79,UNION-OH,0.03646209386281588
80,VAN WERT-OH,0.09695682944090588
81,VINTON-OH,0.0048
82,WARREN-OH,0.02485345838218054
83,WASHINGTON-OH,0.018360655737704918
84,WAYNE-OH,0.2447139303482587
85,WILLIAMS-OH,0.0760806916426513
86,WOOD-OH,0.02680067001675042
87,WYANDOT-OH,0.04501323918799647
0,APACHE-AZ,0.0411194833153929
1,COCHISE-AZ,0.03174078360059514
2,COCONINO-AZ,0.014025336091003102
3,GILA-AZ,0.07986309184255562
4,GRAHAM-AZ,0.08478802992518704
5,GREENLEE-AZ,0.018808777429467086
6,LA PAZ-AZ,0.06086956521739131
7,MARICOPA-AZ,0.0727580515110963
8,MOHAVE-AZ,0.16033810143042912
9,NAVAJO-AZ,0.09328996918863403
10,PIMA-AZ,0.06546886975741048
11,PINAL-AZ,0.10613030416823131
12,SANTA CRUZ-AZ,0.07644962747003563
13,YAVAPAI-AZ,0.07268553940321347
14,YUMA-AZ,0.05224252491694352
0,BAKER-OR,0.10070671378091872
1,BENTON-OR,0.01328740157480315
2,CLACKAMAS-OR,0.042581640524556444
3,CLATSOP-OR,0.144878324844369
4,COLUMBIA-OR,0.042492917847025496
5,COOS-OR,0.043923865300146414
6,CROOK-OR,0.17386231038506417
7,CURRY-OR,0.05815602836879433
8,DESCHUTES-OR,0.10882089361157342
9,DOUGLAS-OR,0.09561161755352979
10,GILLIAM-OR,0.0
11,GRANT-OR,0.0380952380952381
12,HARNEY-OR,0.13513513513513514
13,HOOD RIVER-OR,0.07535795026375283
14,JACKSON-OR,0.09234020073956682
15,JEFFERSON-OR,0.16356877323420074
16,JOSEPHINE-OR,0.047657295850066936
17,KLAMATH-OR,0.07393483709273183
18,LAKE-OR,0.032
19,LANE-OR,0.04952968841857731
20,LINCOLN-OR,0.04828747894441325
21,LINN-OR,0.05111555111555111
22,MALHEUR-OR,0.1318422601530312
23,MARION-OR,0.0646340807657149
24,MORROW-OR,0.033214709371293
25,MULTNOMAH-OR,0.04858939023257254
26,POLK-OR,0.159136272908728
27,SHERMAN-OR,0.031496062992125984
28,TILLAMOOK-OR,0.11099691675231244
29,UMATILLA-OR,0.040055891942244994
30,UNION-OR,0.02513227513227513
31,WALLOWA-OR,0.018867924528301886
32,WASCO-OR,0.07816711590296496
33,WASHINGTON-OR,0.05352841787396197
34,WHEELER-OR,0.0
35,YAMHILL-OR,0.0725681935151827
0,ALBANY-WY,0.0
1,BIG HORN-WY,0.1206896551724138
2,CAMPBELL-WY,0.06348491670418731
3,CARBON-WY,0.0343796711509716
4,CONVERSE-WY,0.046094750320102434
5,CROOK-WY,0.046228710462287104
6,FREMONT-WY,0.10044532409698169
7,GOSHEN-WY,0.017220172201722016
8,HOT SPRINGS-WY,0.05555555555555555
9,JOHNSON-WY,0.0
10,LARAMIE-WY,0.056989469337187695
11,LINCOLN-WY,0.30340264650283555
12,NATRONA-WY,0.014186162269785963
13,NIOBRARA-WY,0.0
14,PARK-WY,0.009946949602122016
15,PLATTE-WY,0.0
16,SHERIDAN-WY,0.0159500693481276
17,SUBLETTE-WY,0.0
18,SWEETWATER-WY,0.034667767230705734
19,TETON-WY,0.12653061224489795
20,UINTA-WY,0.014763779527559055
21,WASHAKIE-WY,0.09732360097323602
22,WESTON-WY,0.09192200557103064
0,ACADIA PARISH-LA,0.06810778797749482
1,ALLEN PARISH-LA,0.13217213114754098
