
County-State,Percentage of Teens Who Work Part or Full time
APPLING-GA,0.32664756446991405
ATKINSON-GA,0.42415316642120765
BACON-GA,0.2630480167014614
BAKER-GA,0.25471698113207547
BALDWIN-GA,0.39254333887437665
BANKS-GA,0.458592132505176
BARROW-GA,0.45024271844660196
BARTOW-GA,0.41728525980911985
BEN HILL-GA,0.4224977856510186
BERRIEN-GA,0.24666666666666667
BIBB-GA,0.3614944463143723
BLECKLEY-GA,0.260539629005059
BRANTLEY-GA,0.4047058823529412
BROOKS-GA,0.22518159806295399
BRYAN-GA,0.4419114423498466
BULLOCH-GA,0.3764607679465776
BURKE-GA,0.36464088397790057
BUTTS-GA,0.41839762611275966
CALHOUN-GA,0.14242424242424243
CAMDEN-GA,0.46295652173913043
CANDLER-GA,0.39594594594594595
CARROLL-GA,0.47617319787131107
CATOOSA-GA,0.550707192296118
CHARLTON-GA,0.2603305785123967
CHATHAM-GA,0.5416151493460012
CHATTAHOOCHEE-GA,0.8784029038112523
CHATTOOGA-GA,0.305
CHEROKEE-GA,0.5346757833045308
CLARKE-GA,0.6114100332331065
CLAY-GA,0.22764227642276422
CLAYTON-GA,0.3252781433185788
CLINCH-GA,0.28118393234672306
COBB-GA,0.4335648666816043
COFFEE-GA,0.39436619718309857
COLQUITT-GA,0.3041191936897458
COLUMBIA-GA,0.44542208620249935
COOK-GA,0.3776160145586897
COWETA-GA,0.46835607537361923
CRAWFORD-GA,0.6022012578616353
CRISP-GA,0.3546666666666667
DADE-GA,0.6547352721849367
DAWSON-GA,0.6151231945624469
DECATUR-GA,0.27335907335907333
DEKALB-GA,0.3724683452612059
DODGE-GA,0.3168674698795181
DOOLY-GA,0.3411111111111111
DOUGHERTY-GA,0.36387240356083084
DOUGLAS-GA,0.3893845801876001
EARLY-GA,0.37967914438502676
ECHOLS-GA,0.22865013774104684
EFFINGHAM-GA,0.457931493182574
ELBERT-GA,0.36302895322939865
EMANUEL-GA,0.2729591836734694
EVANS-GA,0.2765957446808511
FANNIN-GA,0.4485049833887043
FAYETTE-GA,0.4293216009083168
FLOYD-GA,0.4285967085471598
FORSYTH-GA,0.535028502850285
FRANKLIN-GA,0.36049192928516527
FULTON-GA,0.38454374527754837
GILMER-GA,0.5825335892514395
GLASCOCK-GA,0.30739299610894943
GLYNN-GA,0.42326415577760695
GORDON-GA,0.39549519708512754
GRADY-GA,0.44204636290967225
GREENE-GA,0.42742857142857144
GWINNETT-GA,0.36004973370200605
HABERSHAM-GA,0.35474121647147716
HALL-GA,0.48470034401593337
HANCOCK-GA,0.0
HARALSON-GA,0.4368279569892473
HARRIS-GA,0.5085324232081911
HART-GA,0.5261932479627474
HEARD-GA,0.3698630136986301
HENRY-GA,0.35393931328187384
HOUSTON-GA,0.4153245485602733
IRWIN-GA,0.3014888337468983
JACKSON-GA,0.4417212881162724
JASPER-GA,0.2847222222222222
JEFF DAVIS-GA,0.298932384341637
JEFFERSON-GA,0.42776523702031605
JENKINS-GA,0.24914675767918087
JOHNSON-GA,0.37677053824362605
JONES-GA,0.3183673469387755
LAMAR-GA,0.36666666666666664
LANIER-GA,0.2743682310469314
LAURENS-GA,0.29129886506935687
LEE-GA,0.4400656814449918
LIBERTY-GA,0.3689963564094071
LINCOLN-GA,0.3686440677966102
LONG-GA,0.4396039603960396
LOWNDES-GA,0.37292347939829956
LUMPKIN-GA,0.6990881458966566
MCDUFFIE-GA,0.4095904095904096
MCINTOSH-GA,0.3615819209039548
MACON-GA,0.38977635782747605
MADISON-GA,0.4778481012658228
MARION-GA,0.256993006993007
MERIWETHER-GA,0.4345679012345679
MILLER-GA,0.18081180811808117
MITCHELL-GA,0.2288135593220339
MONROE-GA,0.400266844563042
MONTGOMERY-GA,0.3015427769985975
MORGAN-GA,0.5150631681243926
MURRAY-GA,0.4361904761904762
MUSCOGEE-GA,0.4368922598210813
NEWTON-GA,0.4533671036948749
OCONEE-GA,0.43506998444790046
OGLETHORPE-GA,0.6378698224852071
PAULDING-GA,0.36670878079595703
PEACH-GA,0.3286363636363636
PICKENS-GA,0.530349478847333
PIERCE-GA,0.5027624309392266
PIKE-GA,0.3866976024748647
POLK-GA,0.5046570702794242
PULASKI-GA,0.18997912317327767
PUTNAM-GA,0.2457689477557027
QUITMAN-GA,0.0
RABUN-GA,0.40264026402640263
RANDOLPH-GA,0.283987915407855
RICHMOND-GA,0.453998743380307
ROCKDALE-GA,0.31165203511572226
SCHLEY-GA,0.1956521739130435
SCREVEN-GA,0.21354933726067746
SEMINOLE-GA,0.16447368421052633
SPALDING-GA,0.3913382754584471
STEPHENS-GA,0.48890383322125086
STEWART-GA,0.3577981651376147
SUMTER-GA,0.3962900505902192
TALBOT-GA,0.4551083591331269
TALIAFERRO-GA,0.6304347826086957
TATTNALL-GA,0.4327731092436975
TAYLOR-GA,0.22865853658536586
TELFAIR-GA,0.32075471698113206
TERRELL-GA,0.2649164677804296
THOMAS-GA,0.43753351206434316
TIFT-GA,0.4823655147844674
TOOMBS-GA,0.37995674116798844
TOWNS-GA,0.662111801242236
TREUTLEN-GA,0.3006993006993007
TROUP-GA,0.3638790035587189
TURNER-GA,0.5124653739612188
TWIGGS-GA,0.22018348623853212
UNION-GA,0.3874458874458874
UPSON-GA,0.22431259044862517
WALKER-GA,0.5128281622911695
WALTON-GA,0.405359820089955
WARE-GA,0.29237947122861585
WARREN-GA,0.28888888888888886
WASHINGTON-GA,0.3100917431192661
WAYNE-GA,0.3436950146627566
WEBSTER-GA,0.26229508196721313
WHEELER-GA,0.4747307373653687
WHITE-GA,0.5926339285714286
WHITFIELD-GA,0.4360530097397413
WILCOX-GA,0.2517985611510791
WILKES-GA,0.375
WILKINSON-GA,0.13257575757575757
WORTH-GA,0.38594594594594595
HAWAII-HI,0.3490738623370684
HONOLULU-HI,0.44713225768460724
KALAWAO-HI,1.0
KAUAI-HI,0.35537459283387623
MAUI-HI,0.4506239408411647
ADA-ID,0.6209890373689686
ADAMS-ID,0.5964912280701754
BANNOCK-ID,0.6461026967122275
