County-State,Median-Household-Income
WHITESIDE-IL,57172
WILL-IL,90800
WILLIAMSON-IL,52076
WINNEBAGO-IL,55310
WOODFORD-IL,74777
ADAMS-IN,52712
ALLEN-IN,57104
BARTHOLOMEW-IN,66978
BENTON-IN,52656
BLACKFORD-IN,44341
BOONE-IN,89444
BROWN-IN,66833
CARROLL-IN,56159
CASS-IN,49020
CLARK-IN,57111
CLAY-IN,59398
CLINTON-IN,53750
CRAWFORD-IN,41761
DAVIESS-IN,53800
DEARBORN-IN,70779
DECATUR-IN,60794
DEKALB-IN,58415
DELAWARE-IN,45910
DUBOIS-IN,62846
ELKHART-IN,58509
FAYETTE-IN,47465
FLOYD-IN,67603
FOUNTAIN-IN,52334
FRANKLIN-IN,68180
FULTON-IN,50597
GIBSON-IN,56638
GRANT-IN,46900
GREENE-IN,51777
HAMILTON-IN,98880
HANCOCK-IN,75647
HARRISON-IN,59169
HENDRICKS-IN,84754
HENRY-IN,51104
HOWARD-IN,56387
HUNTINGTON-IN,54286
JACKSON-IN,55097
JASPER-IN,61889
JAY-IN,45864
JEFFERSON-IN,51981
JENNINGS-IN,61610
JOHNSON-IN,72928
KNOX-IN,47394
KOSCIUSKO-IN,62789
LAGRANGE-IN,69331
LAKE-IN,57530
LAPORTE-IN,57010
LAWRENCE-IN,57740
MADISON-IN,51476
MARION-IN,51219
MARSHALL-IN,54207
MARTIN-IN,55378
MIAMI-IN,50616
MONROE-IN,52229
MONTGOMERY-IN,56408
MORGAN-IN,67680
NEWTON-IN,57866
NOBLE-IN,58947
OHIO-IN,63649
ORANGE-IN,52164
OWEN-IN,52204
PARKE-IN,55853
PERRY-IN,51496
PIKE-IN,55022
PORTER-IN,72255
POSEY-IN,64983
PULASKI-IN,49140
PUTNAM-IN,61505
RANDOLPH-IN,53322
RIPLEY-IN,60055
RUSH-IN,56814
ST. JOSEPH-IN,54433
SCOTT-IN,45123
SHELBY-IN,59712
SPENCER-IN,56919
STARKE-IN,49705
STEUBEN-IN,58905
SULLIVAN-IN,49449
SWITZERLAND-IN,51270
TIPPECANOE-IN,51926
TIPTON-IN,68707
UNION-IN,55278
VANDERBURGH-IN,51179
VERMILLION-IN,54361
VIGO-IN,47261
WABASH-IN,56573
WARREN-IN,65614
WARRICK-IN,79079
WASHINGTON-IN,50459
WAYNE-IN,47756
WELLS-IN,57565
WHITE-IN,53865
WHITLEY-IN,64992
ADAIR-IA,55700
ADAMS-IA,52287
ALLAMAKEE-IA,55523
APPANOOSE-IA,39693
AUDUBON-IA,49245
BENTON-IA,66046
BLACK HAWK-IA,54774
BOONE-IA,67442
BREMER-IA,72209
BUCHANAN-IA,67252
BUENA VISTA-IA,54014
BUTLER-IA,56473
CALHOUN-IA,55285
CARROLL-IA,59198
CASS-IA,52005
CEDAR-IA,69259
CERRO GORDO-IA,56082
CHEROKEE-IA,56302
CHICKASAW-IA,61239
CLARKE-IA,55078
CLAY-IA,51259
CLAYTON-IA,56456
CLINTON-IA,52221
CRAWFORD-IA,54849
DALLAS-IA,88368
DAVIS-IA,67627
DECATUR-IA,48154
DELAWARE-IA,63877
DES MOINES-IA,51784
DICKINSON-IA,60975
DUBUQUE-IA,64493
EMMET-IA,56708
FAYETTE-IA,49834
FLOYD-IA,51768
FRANKLIN-IA,55630
FREMONT-IA,59688
GREENE-IA,51098
GRUNDY-IA,71760
GUTHRIE-IA,62644
HAMILTON-IA,60248
HANCOCK-IA,61957
HARDIN-IA,54930
HARRISON-IA,64154
HENRY-IA,54490
HOWARD-IA,56709
HUMBOLDT-IA,55707
IDA-IA,54219
IOWA-IA,62660
JACKSON-IA,59042
JASPER-IA,59481
JEFFERSON-IA,47401
JOHNSON-IA,63062
JONES-IA,57134
KEOKUK-IA,52012
KOSSUTH-IA,56156
LEE-IA,52072
LINN-IA,67301
LOUISA-IA,63034
LUCAS-IA,53967
LYON-IA,65959
MADISON-IA,71811
MAHASKA-IA,56417
MARION-IA,64136
