County-State,Percentage-Private-School,Percentage-Public-School
BLAINE-MT,0.1111111111111111,0.8888888888888888
WAYNE-NY,0.05,0.95
RICHMOND-GA,0.1527777777777778,0.8472222222222222
GREENE-OH,0.20833333333333334,0.7916666666666666
CLARK-NV,0.13855421686746988,0.8614457831325302
CARTER-OK,0.06666666666666667,0.9333333333333333
KINGS-CA,0.05555555555555555,0.9444444444444444
ROANE-TN,0.22727272727272727,0.7727272727272727
MESA-CO,0.12698412698412698,0.873015873015873
UNION-OR,0.2222222222222222,0.7777777777777778
PIPESTONE-MN,0.23076923076923078,0.7692307692307693
RICHARDSON-NE,0.1111111111111111,0.8888888888888888
PIKE-MS,0.13636363636363635,0.8636363636363636
BARRY-MO,0.09090909090909091,0.9090909090909091
OCEANA-MI,0.14285714285714285,0.8571428571428571
DOUGLAS-MN,0.13043478260869565,0.8695652173913043
PHILLIPS-AR,0.21428571428571427,0.7857142857142857
ASOTIN-WA,0.15384615384615385,0.8461538461538461
GOSHEN-WY,0.14285714285714285,0.8571428571428571
MONROE-IL,0.16666666666666666,0.8333333333333334
FAYETTE-IL,0.125,0.875
VAN WERT-OH,0.07142857142857142,0.9285714285714286
CLINTON-OH,0.05555555555555555,0.9444444444444444
ST. LOUIS-MO,0.27992633517495397,0.7200736648250461
WASHINGTON-WI,0.3220338983050847,0.6779661016949152
LINCOLN-WI,0.2777777777777778,0.7222222222222222
MUSKEGON-MI,0.05063291139240506,0.9493670886075949
WELLS-IN,0.1,0.9
GRAYS HARBOR-WA,0.06818181818181818,0.9318181818181818
ST. LAWRENCE-NY,0.2857142857142857,0.7142857142857143
WASHINGTON-GA,0.16666666666666666,0.8333333333333334
CHATHAM-GA,0.29411764705882354,0.7058823529411765
SAUK-WI,0.21951219512195122,0.7804878048780488
PINELLAS-FL,0.3185483870967742,0.6814516129032258
OKEECHOBEE-FL,0.18181818181818182,0.8181818181818182
PAGE-IA,0.15384615384615385,0.8461538461538461
MARSHALL-IN,0.4482758620689655,0.5517241379310345
HUNTINGTON-IN,0.07692307692307693,0.9230769230769231
