County-State,SVI
KING-TX,0.1955
THROCKMORTON-TX,0.2678
ROCKWALL-TX,0.1124
CARSON-TX,0.0338
IRION-TX,0.2013
COLLIN-TX,0.1506
BAYLOR-TX,0.1554
BORDEN-TX,0.0621
WILLIAMSON-TX,0.2016
HOOD-TX,0.2602
BLANCO-TX,0.2783
KENDALL-TX,0.2283
ROBERTS-TX,0.0911
DENTON-TX,0.221
PARKER-TX,0.2561
CLAY-TX,0.3182
HARDIN-TX,0.2532
ARMSTRONG-TX,0.1599
GLASSCOCK-TX,0.1761
COMAL-TX,0.2379
CALLAHAN-TX,0.2968
GILLESPIE-TX,0.3573
STONEWALL-TX,0.3236
MASON-TX,0.357
JEFF DAVIS-TX,0.3611
TRAVIS-TX,0.3812
MONTGOMERY-TX,0.3914
ELLIS-TX,0.3924
WILSON-TX,0.4436
JOHNSON-TX,0.5073
MARTIN-TX,0.4239
GUADALUPE-TX,0.4344
DONLEY-TX,0.4525
BRAZORIA-TX,0.5134
RAINS-TX,0.4016
FAYETTE-TX,0.4363
BRISCOE-TX,0.4564
LIPSCOMB-TX,0.4605
CRANE-TX,0.4739
COLEMAN-TX,0.4185
STERLING-TX,0.4127
CONCHO-TX,0.4283
EDWARDS-TX,0.4385
KENT-TX,0.4427
LLANO-TX,0.4666
ANDREWS-TX,0.4736
MIDLAND-TX,0.4748
OLDHAM-TX,0.4322
CHAMBERS-TX,0.4108
TERRELL-TX,0.4713
YOAKUM-TX,0.492
FISHER-TX,0.4312
HAYS-TX,0.4924
BANDERA-TX,0.5076
SHERMAN-TX,0.4611
FOARD-TX,0.4783
REAGAN-TX,0.4806
AUSTIN-TX,0.4936
SUTTON-TX,0.6041
UPSHUR-TX,0.5898
COKE-TX,0.6204
BROWN-TX,0.6277
LAMPASAS-TX,0.5443
WISE-TX,0.5768
LEON-TX,0.6156
MONTAGUE-TX,0.5841
SCHLEICHER-TX,0.5857
TARRANT-TX,0.5475
KAUFMAN-TX,0.5691
BURLESON-TX,0.608
SOMERVELL-TX,0.5605
ERATH-TX,0.6252
SABINE-TX,0.5309
YOUNG-TX,0.5532
DELTA-TX,0.5704
OCHILTREE-TX,0.5787
MENARD-TX,0.5854
BOSQUE-TX,0.6175
HARTLEY-TX,0.5344
RED RIVER-TX,0.565
COOKE-TX,0.6226
WOOD-TX,0.6322
RUNNELS-TX,0.5449
BURNET-TX,0.5299
VAN ZANDT-TX,0.5589
FANNIN-TX,0.5758
ORANGE-TX,0.5812
JONES-TX,0.6328
GOLIAD-TX,0.5815
GALVESTON-TX,0.585
FRANKLIN-TX,0.5277
DALLAM-TX,0.5503
KIMBLE-TX,0.5885
HAMILTON-TX,0.6083
MITCHELL-TX,0.6213
WARD-TX,0.6494
TOM GREEN-TX,0.6643
MEDINA-TX,0.6697
JACK-TX,0.6538
LEE-TX,0.6752
HUTCHINSON-TX,0.6631
JACKSON-TX,0.6774
UPTON-TX,0.6519
BREWSTER-TX,0.6573
GRAYSON-TX,0.6592
BRAZOS-TX,0.6532
WINKLER-TX,0.6541
CROCKETT-TX,0.6892
COLORADO-TX,0.6847
SCURRY-TX,0.6994
REAL-TX,0.7169
SAN JACINTO-TX,0.6869
KERR-TX,0.6959
MOTLEY-TX,0.7003
GAINES-TX,0.6825
HOPKINS-TX,0.7067
WHEELER-TX,0.6962
LAVACA-TX,0.6879
TAYLOR-TX,0.6933
PANOLA-TX,0.6952
WALKER-TX,0.6997
SHACKELFORD-TX,0.685
MOORE-TX,0.699
LIVE OAK-TX,0.6917
MARION-TX,0.6885
MORRIS-TX,0.7299
GARZA-TX,0.7213
HARDEMAN-TX,0.728
